PERMNO,date,COMNAM,RET,vwretd
77453,01/30/2015,JACK IN THE BOX INC,0.060405,-0.027200
77453,02/27/2015,JACK IN THE BOX INC,0.140347,0.056017
77453,03/31/2015,JACK IN THE BOX INC,-0.005895,-0.010454
77453,04/30/2015,JACK IN THE BOX INC,-0.095392,0.008716
77453,05/29/2015,JACK IN THE BOX INC,0.003918,0.010344
77453,06/30/2015,JACK IN THE BOX INC,0.015551,-0.019262
77453,07/31/2015,JACK IN THE BOX INC,0.077586,0.012113
77453,08/31/2015,JACK IN THE BOX INC,-0.173895,-0.060046
77453,09/30/2015,JACK IN THE BOX INC,-0.014582,-0.033769
77453,10/30/2015,JACK IN THE BOX INC,-0.032581,0.074021
77453,11/30/2015,JACK IN THE BOX INC,-0.005233,0.002448
77453,12/31/2015,JACK IN THE BOX INC,0.038711,-0.022287
77453,01/29/2016,JACK IN THE BOX INC,0.012124,-0.057094
77453,02/29/2016,JACK IN THE BOX INC,-0.110639,0.000685
77453,03/31/2016,JACK IN THE BOX INC,-0.070982,0.070518
77453,04/29/2016,JACK IN THE BOX INC,0.057617,0.011814
77453,05/31/2016,JACK IN THE BOX INC,0.265729,0.014316
